test_material_1,test_material_2,test_material_3,test_material_4,test_material_5,time
1164.5022624444973,-2794.4395746076448,4102.116863561634,769.6730015536195,780.9342235139304,86400.0
516.4549211943333,-2560.760114089064,-24.754261060888222,334.44106103357495,247.68940062495867,86384.38
367.53308003690717,-3074.7099186609935,590.0171731011937,302.6008317423865,143.7835893550987,86368.76
271.03906444186225,-4207.084686191136,-10.478336160308363,207.1566579829751,92.51629324131059,86353.14
213.78528064563673,-8421.404632682814,242.06862987242178,193.86589220753953,66.16017704717622,86337.52
174.00605517966295,87259.49879780416,-7.076067863426446,150.51101622768945,50.01658618292986,86321.9
145.29519624788978,6197.562317340603,135.48728206439134,143.11152826275745,39.44131302708273,86306.28
123.58021342462459,3140.4353107701077,-5.479250234955617,118.00344512148911,32.058577905691216,86290.66
106.6694167832973,2039.5191322114595,88.09825606189764,113.26568696173102,26.677567294406277,86275.04
93.17506410930375,1497.810135353171,-4.526373565621326,96.77313113098569,22.61596411016558,86259.42
82.19920734688847,1166.6487821631647,62.56902545931306,93.4763240291796,19.46440453892615,86243.8
73.1291952986764,951.2397013046138,-3.8816826982350863,81.76678757410662,16.96274930379723,86228.18
65.53394009228197,796.2116670905214,47.095800373320124,79.34215400424172,14.939027734026892,86212.56
59.101090843436296,682.7040245941984,-3.4104913768057767,70.57605741995549,13.275468197250119,86196.94
53.59898413247106,594.1388402478016,36.93761435811696,68.72110862491952,11.889043530912941,86181.32
48.85228787181926,524.8453472781617,-3.047683295982194,61.90100341888133,10.719733881812793,86165.7
44.725985444444525,468.0919936118462,29.87227178438728,60.439371264122684,9.723202294635705,86150.08
41.114521745197735,421.75120007468445,-2.7576780930035816,54.97572668937024,8.866070495870835,86134.46
37.93427081905345,382.5462696459651,24.738542977590214,53.79735239340935,8.122787160416864,86118.84
35.11819457820678,349.56402467606546,-2.519267607213443,49.31853664006735,7.473500161599685,86103.22
32.61198346665952,321.0049814191065,20.878427033775797,48.35105155078455,6.902579319356678,86087.6
30.37122074766768,296.4423930145799,-2.318959002429476,44.6107542976429,6.3975707032901,86071.98
28.359267482039513,274.79911684262413,17.894914567377647,43.80455146862995,5.948443428741949,86056.36
26.545663621253393,255.86525749011867,-2.1477211149824935,40.63283789125448,5.547038533380832,86040.74
24.90490443799872,238.95301507511002,15.536148158374719,39.95274051326939,5.186659918026216,86025.12
23.41549374147105,223.95681862112463,-1.9992581923846393,37.228447938489154,4.861766751021255,86009.5
22.059203805114773,210.41484173888819,13.63566462362262,36.64879906008075,4.567739393055198,85993.88
20.820491473026173,198.27451700709582,-1.869032570968313,34.28313300094983,4.300699305355938,85978.26
19.686033526195267,187.2130292133392,12.079616950947285,33.784768624653864,4.057369082258498,85962.64
18.64435401308829,177.20577659211796,-1.7536813978438182,31.711121957864524,3.834962645033833,85947.02
17.68552314118171,168.01957071618222,10.787858716615732,31.279433403484262,3.631098345620786,85931.4
16.8009123221122,159.6449083791878,-1.650652955969596,29.446832381232753,3.4437296418794716,85915.78
15.982993625627403,151.90866851730294,9.70255172981495,29.070485418912778,3.2710893722330425,85900.16
15.225174610638398,144.80956362882807,-1.5579713878219317,27.43923641110651,3.11164464465586,85884.54
14.521661530965446,138.21605771750126,8.781049758613788,27.109300743615012,2.9640600758993627,85868.92
13.867345445072777,132.1312842295723,-1.4740796039728503,25.6480193977345,2.8271676486170527,85853.3
13.257706924976931,126.45330280694154,7.991310934086915,25.3573625512987,2.6999418501200205,85837.68
12.688735954065939,121.18753038087486,-1.3977314896273019,24.04089782258512,2.581479054010722,85822.06
12.156864295093488,116.25359615693573,7.30885775170089,23.783754061825846,2.470980331426684,85806.44
11.6589081478289,111.65798118450859,-1.3279161504826682,22.591706971756018,2.367737050727899,85790.82
11.192019337730239,107.33636318020807,6.714713149503103,22.363364857506028,2.2711187569207745,85775.2
10.753643609532448,103.29558958751058,-1.263803541382712,21.279011817598033,2.180562924725365,85759.58
10.3414848635672,99.48349745176594,6.193968773957986,21.075583905936842,2.0955662591862088,85743.96
9.95347438297428,95.90690511479836,-1.2047047045767425,20.085081014736517,2.0156772805711265,85728.34
9.5877442688523,92.52301136395785,5.734772496076306,19.90333151132302,1.9404899798725295,85712.72
9.24260443630897,89.3383875002963,-1.150042200684284,18.995117651019882,1.8696383706318296,85697.1
8.916522634619529,86.31754394940054,5.327599913064375,18.83233165842417,1.8027917942361305,85681.48
8.608107044341189,83.46669218631496,-1.0993277853629129,17.996674628334894,1.7396508610978443,85665.86
8.316091077418045,80.75612679241814,4.964721917089516,17.850557707316188,1.6799439304748918,85650.24
